alpha,makespan,labor_cost
0.6,220.49641073326586,575555.1634480248
0.6,237.61469213595365,557791.2527368576
0.6,229.1803827545463,565814.6563232476
0.6,198.10216047419559,608469.281128346
0.6,197.28282862878848,610052.1207549544
0.6,213.4040246547718,585090.9670087751
0.6,220.26347701002484,576047.8375514247
0.6,273.35238311682076,536797.3507206405
0.6,200.61670534195719,603383.4020847316
0.6,200.63643761266812,602975.0474530822
0.6,240.24421122949195,555005.8659017871
0.6,257.1010366440255,543701.0004863092
0.6,259.3969942679631,542821.437842536
0.6,222.11426842118792,573111.669827453
0.6,251.11530165415058,546826.1368893401
0.6,246.66824289887447,549801.0958688941
0.6,229.66193102795427,565192.0876921098
0.6,238.1960450847487,557189.0781811337
0.6,228.5010568218861,566787.7440543057
0.6,268.3005625686459,538562.0748778426
0.6,230.8610872322028,564317.2629542772
0.6,243.61019682849278,552551.396614764
0.6,191.728487492746,625258.7459815365
0.6,257.65219389761893,543467.6921931617
0.6,194.17723533720937,618002.6290016532
0.6,273.74140694414206,536767.905067977
0.6,231.40689034589195,563719.3401766617
0.6,194.0801242440369,618228.1907873244
0.6,256.06788878943615,544279.0170821331
